Location,Day,Truck Type (tons),Number of Trucks,Delivery Schedule
1,,,,Once a week
2,,,,Once a week
3,,,,Thrice a week
4,,,,Once a week
5,,,,Once a week
6,,,,Once a week
7,,,,Once a week
8,,,,Once a week
9,,,,Once a week
10,,,,Once a week
11,,,,Once a week
12,,,,Once a week
13,,,,Once a week
14,,,,Once a week
15,,,,Once a week
16,,,,Once a week
17,,,,Five times a week
18,,,,Once a week
19,,,,Twice a week
20,,,,Once a week
21,,,,Once a week
22,,,,Once a week
23,,,,Once a week
24,,,,Once a week
25,,,,Once a week
26,,,,Once a week
27,,,,Thrice a week
28,,,,Once a week
29,,,,Once a week
30,,,,Once a week
31,,,,Twice a week
32,,,,Once a week
33,,,,Twice a week
34,,,,Twice a week
35,,,,Once a week
36,,,,Once a week
37,,,,Once a week
38,,,,Once a week
39,,,,Once a week
40,,,,Once a week
41,,,,Once a week
42,,,,Once a week
43,,,,Once a week
44,,,,Once a week
45,,,,Thrice a week
46,,,,Once a week
47,,,,Once a week
48,,,,Once a week
49,,,,Once a week
50,,,,Once a week
51,,,,Once a week
52,,,,Once a week
53,,,,Once a week
54,,,,Once a week
55,,,,Once a week
56,,,,Once a week
57,,,,Once a week
58,,,,Once a week
59,,,,Twice a week
60,,,,Once a week
61,,,,Once a week
62,,,,Once a week
63,,,,Twice a week
64,,,,Thrice a week
65,,,,Once a week
66,,,,Five times a week
67,,,,Once a week
68,,,,Once a week
69,,,,Once a week
70,,,,Once a week
71,,,,Once a week
72,,,,Once a week
73,,,,Once a week
74,,,,Once a week
75,,,,Once a week
76,,,,Once a week
77,,,,Once a week
78,,,,Once a week
79,,,,Once a week
80,,,,Once a week
81,,,,Once a week
82,,,,Thrice a week
83,,,,Once a week
84,,,,Once a week
85,,,,Once a week
86,,,,Once a week
87,,,,Once a week
88,,,,Once a week
89,,,,Thrice a week
90,,,,Once a week
91,,,,Once a week
92,,,,Once a week
93,,,,Once a week
94,,,,Once a week
95,,,,Once a week
96,,,,Once a week
97,,,,Once a week
98,,,,Once a week
99,,,,Once a week
100,,,,Once a week
